"";"jahr";"versorgungsregion";"Versorgungsregion";"versorgungsregion_code";"total.y";"kapa2";"kapa5";"kapa8";"diff1";"diff5";"diff10"
"1";2023;"Allschwil, Binningen und Schönenbuch (ABS)";"VR Alter und Gesundheit ABS";1;521,9518807165;401;401;401;-120,9518807165;-120,9518807165;-120,9518807165
"2";2024;"Allschwil, Binningen und Schönenbuch (ABS)";"VR Alter und Gesundheit ABS";1;534,299889310687;409,02;421,05;433,08;-125,279889310688;-113,249889310687;-101,219889310687
"3";2025;"Allschwil, Binningen und Schönenbuch (ABS)";"VR Alter und Gesundheit ABS";1;550,995050302437;417,2004;442,1025;467,7264;-133,794650302437;-108,892550302437;-83,2686503024374
"4";2026;"Allschwil, Binningen und Schönenbuch (ABS)";"VR Alter und Gesundheit ABS";1;569,911178511813;425,544408;464,207625;505,144512;-144,366770511812;-105,703553511812;-64,7666665118124
"5";2027;"Allschwil, Binningen und Schönenbuch (ABS)";"VR Alter und Gesundheit ABS";1;586,067639500125;434,05529616;487,41800625;545,55607296;-152,012343340125;-98,6496332501249;-40,5115665401248
"6";2028;"Allschwil, Binningen und Schönenbuch (ABS)";"VR Alter und Gesundheit ABS";1;600,90650234925;442,7364020832;511,7889065625;589,2005587968;-158,17010026605;-89,1175957867499;-11,7059435524498
"7";2029;"Allschwil, Binningen und Schönenbuch (ABS)";"VR Alter und Gesundheit ABS";1;612,253313575187;451,591130124864;537,378351890625;636,336603500544;-160,662183450323;-74,8749616845623;24,0832899253568
"8";2030;"Allschwil, Binningen und Schönenbuch (ABS)";"VR Alter und Gesundheit ABS";1;627,312521115813;460,622952727361;564,247269485156;687,243531780588;-166,689568388451;-63,0652516306561;59,9310106647754
"9";2031;"Allschwil, Binningen und Schönenbuch (ABS)";"VR Alter und Gesundheit ABS";1;643,360916495438;469,835411781909;592,459632959414;742,223014323035;-173,525504713529;-50,9012835360232;98,8620978275974
"10";2032;"Allschwil, Binningen und Schönenbuch (ABS)";"VR Alter und Gesundheit ABS";1;658,946779409687;479,232120017547;622,082614607385;801,600855468878;-179,714659392141;-36,8641648023024;142,65407605919
"11";2033;"Allschwil, Binningen und Schönenbuch (ABS)";"VR Alter und Gesundheit ABS";1;675,705423134062;488,816762417898;653,186745337754;865,728923906388;-186,888660716165;-22,5186777963082;190,023500772326
"12";2034;"Allschwil, Binningen und Schönenbuch (ABS)";"VR Alter und Gesundheit ABS";1;689,015418617813;498,593097666256;685,846082604642;934,987237818899;-190,422320951557;-3,16933601317055;245,971819201087
